text	help
healthy habits to practice while traveling	(trigger, action, and the smallest first step)
healthy snacks to prepare	(specifics, a constraint, and one bold example)
morning routine improvements	(trigger, action, and the smallest first step)
outdoor activities to try	(specifics, a constraint, and one bold example)
playful ways to be active with friends	(specifics, a constraint, and one bold example)
quick home workouts without equipment	(specifics, a constraint, and one bold example)
relaxing evening routines	(trigger, action, and the smallest first step)
stress-relief activities	(specifics, a constraint, and one bold example)
stretches to do during work breaks	(specifics, a constraint, and one bold example)
things I like eating	(specifics, a constraint, and one bold example)
things that would improve my sleep	(specifics, a constraint, and one bold example)
top health concerns	(specifics, a constraint, and one bold example)
ways to add more movement to my life	(specifics, a constraint, and one bold example)
ways to reduce screen time	(specifics, a constraint, and one bold example)
ways to stay hydrated	(specifics, a constraint, and one bold example)
wellness goals for the month	(outcome and the next tiny step)
