text	help	slug
Documentary topics that interest me	(follow a curious “why?” trail)	documentary-topics-that-interest-me
Fears to overcome	(name the fear + first exposure step)	fears-to-overcome
Goals	(big or small, today or for life)	goals
Goals for today	(one win + smallest action)	goals-for-today
Habits to develop this year	(anchor habit + tiny trigger)	habits-to-develop-this-year
Languages I'd like to learn	(phrase you’d love to say)	languages-id-like-to-learn
On my current path, accomplishments in 10 years	(one headline you’d be proud of)	on-my-current-path-accomplishments-in-10-years
People I admire	(trait you want to emulate)	people-i-admire
Personal values	(value + a daily behavior)	personal-values
Productivity experiments to try	(try for a week; measure one thing)	productivity-experiments-to-try
Real weaknesses	(own it + a small guardrail)	real-weaknesses
Reasons to get up in the morning	(e.g., sweet, sweet coffee)	reasons-to-get-up-in-the-morning
Risks worth taking	(downside cap + upside dream)	risks-worth-taking
Roles I aspire to in life	(role + one habit to match it)	roles-i-aspire-to-in-life
Skills I'd like to master	(sub‑skill + practice drill)	skills-id-like-to-master
Skills that would advance my career	(skill + 30‑day plan)	skills-that-would-advance-my-career
Subjects I want to learn more about	(specific question you want answered)	subjects-i-want-to-learn-more-about
The purpose of my life	(who you help + how)	the-purpose-of-my-life
Things I will wish I had done sooner in life at old age	(e.g., quit smoking)	things-i-will-wish-i-had-done-sooner-in-life-at-old-age
Things I would do if I knew I could not fail	(start with “I would…”)	things-i-would-do-if-i-knew-i-could-not-fail
Things I'd love to learn	(learn by building X)	things-id-love-to-learn
Things that are no longer a practical pursuit in my life	(I decided to never become a traveling musician)	things-that-are-no-longer-a-practical-pursuit-in-my-life
Things to accomplish in the next decade	(milestone + year you’ll celebrate)	things-to-accomplish-in-the-next-decade
To do before I die	(place/person + moment)	to-do-before-i-die
To do items	(define next physical action)	to-do-items
Tolerations	(things I live with that bother me)	tolerations
Topics I'm curious about	(frame as a question)	topics-im-curious-about
Traits I admire in others	(trait + tiny way to practice)	traits-i-admire-in-others
Uncertainties that I face	(what's unresolved?)	uncertainties-that-i-face
Ways to improve my morning routine	(remove one friction point)	ways-to-improve-my-morning-routine
Ways to simplify my commitments	(“no” script for a common ask)	ways-to-simplify-my-commitments
What's holding me back?	(belief → alternate story)	whats-holding-me-back
What's stopping me from being perfectly content?	(need → experiment to test it)	whats-stopping-me-from-being-perfectly-content
Where can I use some help?	(ask one person specifically)	where-can-i-use-some-help
Where is fear holding me back?	(fear → one safe rep)	where-is-fear-holding-me-back
