text	help
backstory secrets	Include: character/setting/conflict; add a twist.
character arcs	Include: character/setting/conflict; add a twist.
character flaws	Include: character/setting/conflict; add a twist.
character motivations beyond the obvious	Include: character/setting/conflict; add a twist.
hero names	Include: character/setting/conflict; add a twist.
how to hurt a character	Include: character/setting/conflict; add a twist.
internal conflicts	Include: character/setting/conflict; add a twist.
relationship dynamics	Include: character/setting/conflict; add a twist.
side characters who could steal the scene	Include: character/setting/conflict; add a twist.
sympathetic antagonist	Include: character/setting/conflict; add a twist.
unique character quirks and habits	Include: trigger, action, and the smallest first step.
villian names	Include: character/setting/conflict; add a twist.
ways to reveal character through action	Include: character/setting/conflict; add a twist.
