text	help
"And then I said..."	(reveal insecurity or bravado) and-then-i-said
"close the window."	(the wind says a word) close-the-window
"do you trust me?"	(they shouldn't; make them anyway) do-you-trust-me
"does this thing even work?"	(a glitch becomes a clue) does-this-thing-even-work
"don't look at the sky."	(someone else does) dont-look-at-the-sky
"don't say his name."	(the name says you) dont-say-his-name
"don't turn around."	(someone behind reacts first) dont-turn-around
"don't wake her."	(she isn't asleep) dont-wake-her
"he knows."	(debate who "he" is) he-knows
"how long have you known?"	(measure in ordinary objects) how-long-have-you-known
"i brought you something."	(the gift is dangerous) i-brought-you-something
"i can explain the blood."	(explain something else instead) i-can-explain-the-blood
"i didn't tell you the whole story."	(reveal an omission, not a twist) i-didnt-tell-you-the-whole-story
"i know that smell."	(a memory unlocks) i-know-that-smell
"I once had a cat like that."	(pivot to a secret backstory) i-once-had-a-cat-like-that
"i saw you."	(at an impossible time) i-saw-you
"i thought you were dead."	(correct the tense carefully) i-thought-you-were-dead
"i'll go first."	(someone else already went) ill-go-first
"if anyone asks, we were never here."	(leave one trace on purpose) if-anyone-asks-we-were-never-here
"is that your real name?"	(offer two options, both false) is-that-your-real-name
"it's not safe here."	(safety is worse) its-not-safe-here
"it's not what it looks like."	(explanation makes it worse) its-not-what-it-looks-like
"let me see your hands."	(a ring is missing) let-me-see-your-hands
"lock the door."	(the lock replies) lock-the-door
"open the door."	(the problem isn't the door) open-the-door
"please don't be mad."	(they're not; they're something else) please-dont-be-mad
"promise me one thing."	(the promise must soon be broken) promise-me-one-thing
"put that back."	(it wants to be taken) put-that-back
"read the last line."	(it changes when spoken aloud) read-the-last-line
"say it again."	(repetition shifts meaning) say-it-again
"smile."	(for who?) smile
"stop. listen."	(name a sound that shouldn't exist) stop-listen
"tell me a secret."	(refuse; tell a story instead) tell-me-a-secret
"tell me where you came from"	(answer dodged with a gift) tell-me-where-you-came-from
"that's not my handwriting."	(the note is in your voice) thats-not-my-handwriting
"the camera is still on."	(decide who wants it to be) the-camera-is-still-on
"the rules are simple."	(gently break one) the-rules-are-simple
"this isn't my house."	(but the keys work) this-isnt-my-house
"turn off the lights."	(darkness reveals) turn-off-the-lights
"we can't call the police."	(name a personal reason) we-cant-call-the-police
"we have five minutes."	(the timer shortens unexpectedly) we-have-five-minutes
"we need a cover story."	(pick one detail that's true) we-need-a-cover-story
"we need to talk."	(cut the scene before they do) we-need-to-talk
"we shouldn't be here."	(state the rule being broken) we-shouldnt-be-here
"what did you hear?"	(misquote on purpose) what-did-you-hear
"what's that?"	(name it wrong, on purpose) whats-that
"where did you get that?"	(name a place that no longer exists) where-did-you-get-that
"who are you talking to?"	(they're speaking to the room) who-are-you-talking-to
"who told you that?"	(answer implicates the speaker) who-told-you-that
"why are you whispering?"	(someone tests the echo) why-are-you-whispering
"you can't be here."	(explain why they can) you-cant-be-here
"you promised you wouldn't ask."	(answer with a question) you-promised-you-wouldnt-ask
"you weren't supposed to see that."	(they wanted you to) you-werent-supposed-to-see-that
"you're bleeding."	(it isn't theirs) youre-bleeding
"you're late."	(late for what changes mid‑scene) youre-late
