text	help
comedy moments	Include: character/setting/conflict; add a twist.
fantasy elements	Include: character/setting/conflict; add a twist.
genre conventions I could subvert	Include: character/setting/conflict; add a twist.
genre mashups	Include: character/setting/conflict; add a twist.
horror elements	Include: character/setting/conflict; add a twist.
literary themes	Include: character/setting/conflict; add a twist.
mystery elements	Include: character/setting/conflict; add a twist.
romance subplots	Include: character/setting/conflict; add a twist.
thriller elements	Include: character/setting/conflict; add a twist.
tropes	Include: character/setting/conflict; add a twist.
