text	help
adventures sparked by a random note	Include: character/setting/conflict; add a twist.
cliffhanger endings for chapters	Include: character/setting/conflict; add a twist.
climax scenarios	Include: character/setting/conflict; add a twist.
conflicts based on misunderstood messages	Include: character/setting/conflict; add a twist.
journeys that happen entirely in dreams	Include: target user, problem, and a unique edge.
midpoint reversals to consider	Include: character/setting/conflict; add a twist.
mysteries solved by children	Include: character/setting/conflict; add a twist.
narratives told backward	Include: character/setting/conflict; add a twist.
obstacles to throw at my protagonist	Include: character/setting/conflict; add a twist.
opening scenes to hook	Include: character/setting/conflict; add a twist.
plot twists	Include: character/setting/conflict; add a twist.
plots driven by an impossible choice	Include: character/setting/conflict; add a twist.
red herrings to mislead readers	Include: the title and why it interests you.
romances that span decades	Include: character/setting/conflict; add a twist.
stories that start at the ending	Include: character/setting/conflict; add a twist.
subplots to weave into the main story	Include: character/setting/conflict; add a twist.
tales where the setting is alive	Include: character/setting/conflict; add a twist.
unexpected events on an idle Tuesday	Include: character/setting/conflict; add a twist.
villains with noble goals	Include: outcome and the next tiny step.
ways to foreshadow the ending	Include: character/setting/conflict; add a twist.
ways to raise the stakes	Include: character/setting/conflict; add a twist.
