text	help
Architectural styles and housing	(material + climate logic) architectural-styles-and-housing
Arts and entertainment	(what moves people here) arts-and-entertainment
Borders and visas	(who’s welcome and why) borders-and-visas
Calendar and timekeeping	(odd unit with a story) calendar-and-timekeeping
Clothing and fashion signals	(status shown or hidden) clothing-and-fashion-signals
Crime and justice	(who judges + standard punishment) crime-and-justice
Cuisine and staple foods	(flavor + scarcity workaround) cuisine-and-staple-foods
Cultural traditions to invent	(ritual + origin story) cultural-traditions-to-invent
Diplomacy and treaties	(old pact with a cost) diplomacy-and-treaties
Economic systems	(what’s scarce and why) economic-systems
Education and apprenticeship	(what’s taught vs what’s learned) education-and-apprenticeship
Energy sources and power	(price paid to keep lights on) energy-sources-and-power
Funerary practices	(how the dead shape the living) funerary-practices
Games and sports	(rule that reflects culture) games-and-sports
Geographical features that affect the story	(terrain that dictates behavior) geographical-features-that-affect-the-story
Healthcare and medicine	(cure with a side effect) healthcare-and-medicine
Historical events that shaped this world	(winners’ version vs truth) historical-events-that-shaped-this-world
Hospitality customs	(guest rights + host duties) hospitality-customs
Languages or dialects to create	(sound that signals status) languages-or-dialects-to-create
Magical or sci-fi elements to include	(power + hard limit) magical-or-sci-fi-elements-to-include
Maps and borders that shift	(why the lines move) maps-and-borders-that-shift
Measurement units	(one bizarre measure that matters) measurement-units
Migration and diaspora	(why people left, what they kept) migration-and-diaspora
Myths and creation stories	(origin that explains a quirk) myths-and-creation-stories
Naming conventions	(syllables that carry history) naming-conventions
Pets, pests, and predators	(an animal that rewrote behavior) pets-pests-and-predators
Policing and surveillance	(who watches whom, and how) policing-and-surveillance
Public spaces and gathering places	(what a plaza says about power) public-spaces-and-gathering-places
Religions or belief systems	(core taboo + forgiveness path) religions-or-belief-systems
Resource extraction and trade	(what leaves and what returns) resource-extraction-and-trade
Rituals of passage	(test + token earned) rituals-of-passage
Social hierarchies and power structures	(who can say no to whom) social-hierarchies-and-power-structures
Technologies that exist (or don't)	(affordance missing that we take for granted) technologies-that-exist-or-dont
Transportation methods	(speed vs safety trade) transportation-methods
Unique laws or rules	(weird law that has a practical reason) unique-laws-or-rules
Waste and sanitation	(where it goes tells a class story) waste-and-sanitation
Weather patterns and seasons	(one extreme with social effects) weather-patterns-and-seasons
Work and guilds	(job that grants a privilege) work-and-guilds
