text	help
backup communication tools	(scenario, first move, and backup plan)
codes to convey messages discreetly	(scenario, first move, and backup plan)
communication plan options when networks fail	(scenario, first move, and backup plan)
elements of an emergency communication plan	(scenario, first move, and backup plan)
ham radio tips for emergencies	(scenario, first move, and backup plan)
ideas for organizing community drills	(scenario, first move, and backup plan)
methods to track loved ones	(scenario, first move, and backup plan)
my survival buddy needs...	(scenario, first move, and backup plan)
neighbors to involve in a plan	(scenario, first move, and backup plan)
protocols for information verification	(scenario, first move, and backup plan)
safe meeting points for the household	(scenario, first move, and backup plan)
sharing resources without conflict	(scenario, first move, and backup plan)
ways to keep morale up	(scenario, first move, and backup plan)
ways to navigate language barriers during crises	(scenario, first move, and backup plan)
ways to signal for help	(scenario, first move, and backup plan)
