text	help
actions for a nearby chemical spill	(scenario, first move, and backup plan)
actions to take after an earthquake	(scenario, first move, and backup plan)
actions to take in an emergency	(scenario, first move, and backup plan)
evacuation routes and safe zones	(scenario, first move, and backup plan)
factors for deciding whether to stay or evacuate	(scenario, first move, and backup plan)
family emergency code words to use	(scenario, first move, and backup plan)
first steps in a medical emergency	(scenario, first move, and backup plan)
first things to grab when running out the door	(scenario, first move, and backup plan)
immediate actions during a fire	(scenario, first move, and backup plan)
items for a quick assessment upon arriving at a shelter	(scenario, first move, and backup plan)
quick ways to shut off utilities	(scenario, first move, and backup plan)
steps for sheltering in place	(the place and a unique reason to go)
steps to secure the home before evacuating	(scenario, first move, and backup plan)
steps to take when caught in severe weather	(scenario, first move, and backup plan)
ways to evacuate pets safely	(scenario, first move, and backup plan)
