text	help
Clean-up priorities after different disasters	(e.g., hazards first)
Creative ways to rebuild shelter and infrastructure	(e.g., modular builds)
Financial planning for recovery	(e.g., grant programs)
Fun ways to restore community services	(pop‑up station + music)
Ideas for memorializing the event respectfully	(names + living tribute)
Ideas for organizing volunteer efforts	(e.g., signup board)
Long-term housing alternatives	(e.g., ADUs)
Methods for assessing structural damage safely	(e.g., smell gas)
Methods to prevent future disasters	(e.g., defensible space)
Psychological resilience practices that actually work	(e.g., simple routine)
Replanting or restoring local ecology	(e.g., native species)
Restocking priorities for next time	(e.g., water first)
Things to do after the immediate danger passes	(e.g., check on neighbors)
Ways to document losses for insurance	(time‑stamped photos + serials)
