text	help
climate change tipping points	(local impacts you’d notice first)
cyberattacks that could cripple infrastructure	(single point of failure nearby)
economic collapse warning signs	(personal signals before headlines)
environmental contamination risks	(map plants, spills, plumes)
home hazards to fix before disaster strikes	(secure tall items, gas leaks)
local hazards unique to my area	(fire, flood, fault, or freeze?)
online hazards	(phishing patterns you’ve seen)
pandemic outbreak scenarios	(trigger to mask + stay home)
political or social unrest possibilities	(avoid routes + safe check‑ins)
space weather events to prepare for	(backup power + radios)
supply chain breakdown scenarios	(stock basics + neighbor swap)
technology failures with catastrophic impact	(offline mode for your life)
top risks specific to my situation	(rank by likelihood × impact)
triggers for an apocalyptic event	(you’d notice X before Y)
unexpected natural disasters to plan for	(what’s rare but plausible)
ways the world could end	(sci‑fi, but list your first move)
what would a new great depression look like?	(local jobs + housing shifts)
what would the next global financial crisis look like?	(your budget’s shock absorbers)
