text	help
backup cooking methods	Include: the dish and one ingredient twist.
backup power options	Include: scenario, first move, and backup plan.
barter items for post-disaster trade	Include: scenario, first move, and backup plan.
clothing items for varied climates	Include: scenario, first move, and backup plan.
important documents to keep waterproof	Include: scenario, first move, and backup plan.
items for an emergency go-bag	Include: scenario, first move, and backup plan.
lighting options when power fails	Include: scenario, first move, and backup plan.
long-term food storage ideas	Include: scenario, first move, and backup plan.
medical supplies beyond basics	Include: scenario, first move, and backup plan.
nonperishable foods	Include: scenario, first move, and backup plan.
off-grid energy sources	Include: scenario, first move, and backup plan.
shelter-building materials to store	Include: scenario, first move, and backup plan.
tools for emergency repairs	Include: scenario, first move, and backup plan.
water collection	Include: scenario, first move, and backup plan.
