text	help	slug
"No-spend" weekend activities	(e.g., free community events)	no-spend-weekend-activities
Acts of kindness to do as a family	(e.g., helping an elderly neighbor)	acts-of-kindness-to-do-as-a-family
Backyard activities	(e.g., 20‑minute game)	backyard-activities
Backyard camping nights	(tent/fort + s’mores alt)	backyard-camping-nights
Cooking activities for the family	(3‑ingredient recipes)	cooking-activities-for-the-family
Creative projects to do together	(paper + tape + imagination)	creative-projects-to-do-together
Family traditions to start	(e.g., a unique holiday ritual)	family-traditions-to-start
Family volunteer projects	(kid‑friendly, 1 hour)	family-volunteer-projects
Game night ideas	(low‑prep classics + twist)	game-night-ideas
Homemade board games	(e.g., cardboard board)	homemade-board-games
Indoor activities for rainy days	(e.g., blanket fort)	indoor-activities-for-rainy-days
Indoor obstacle courses	(e.g., pillow course)	indoor-obstacle-courses
Movie night themes	(costumes or ballots)	movie-night-themes
Nature art with leaves and stones	(e.g., framed leaves)	nature-art-with-leaves-and-stones
Neighborhood scavenger hunts	(e.g., photo list)	neighborhood-scavenger-hunts
Outdoor activities everyone can enjoy	(e.g., flat route)	outdoor-activities-everyone-can-enjoy
Road trip games	(e.g., no‑props games)	road-trip-games
Science experiments to try at home	(e.g., baking soda volcano)	science-experiments-to-try-at-home
Skills to learn together as a family	(e.g., a new language or instrument)	skills-to-learn-together-as-a-family
Themed costume dinners	(menu matches theme)	themed-costume-dinners
Time capsule activities	(what to open when)	time-capsule-activities
Ways to celebrate small wins	(e.g., acknowledging a good grade)	ways-to-celebrate-small-wins
Weekend family adventures	(morning plan + backup)	weekend-family-adventures
