text	help	slug
After‑school decompression ideas	(snack + quiet choice)	afterschool-decompression-ideas
Allowance guidelines	(amount + earn vs learn)	allowance-guidelines
Bedtime routine improvements	(same 3 steps nightly)	bedtime-routine-improvements
Bedtime story themes	(friendship, bravery, silly)	bedtime-story-themes
Car ride games	(no screens, wordplay)	car-ride-games
Confidence builders	(task they can master)	confidence-builders
Conversation starters for kids	(e.g., best part of today)	conversation-starters-for-kids
Family meeting agenda	(wins, plans, one fix)	family-meeting-agenda
Gratitude rituals for kids	(one person, one thing)	gratitude-rituals-for-kids
Growth mindset phrases	(praise effort + strategy)	growth-mindset-phrases
Homework habits to try	(start cue + short timer)	homework-habits-to-try
Life skills to teach	(practice in play)	life-skills-to-teach
Mealtime conversation games	(rose, thorn, bud)	mealtime-conversation-games
Morning routine anchors	(same first 2 steps)	morning-routine-anchors
Natural consequences list	(safe, related, respectful)	natural-consequences-list
Outdoor mini‑adventures	(15 minutes near home)	outdoor-miniadventures
Positive reinforcement strategies	(catch good; name it)	positive-reinforcement-strategies
Rainy day kits	(box ready; rotate)	rainy-day-kits
Screen time agreements	(when, where, what)	screen-time-agreements
Screen time alternatives	(setup stations)	screen-time-alternatives
Teachable moments to watch for	(e.g., notice and name)	teachable-moments-to-watch-for
Travel with kids tips	(snacks, surprises, breaks)	travel-with-kids-tips
Ways to encourage kids' creativity	(materials within reach)	ways-to-encourage-kids-creativity
Ways to get personal rest	(you can't be on all the time)	ways-to-get-personal-rest
Ways to handle tantrums calmly	(e.g., label feelings)	ways-to-handle-tantrums-calmly
Ways to make chores fun	(e.g., timer race)	ways-to-make-chores-fun
