text	help	slug
A day in the life of a sentient cloud	(e.g., "another day, another rainstorm")	a-day-in-the-life-of-a-sentient-cloud
A day in the life of a sentient coffee mug	(e.g., "another day, another cup of coffee")	a-day-in-the-life-of-a-sentient-coffee-mug
A day in the life of a sentient doorknob	(e.g., "another day, another person turning me on")	a-day-in-the-life-of-a-sentient-doorknob
A day in the life of a sentient fork	(e.g., "another day, another plate of food")	a-day-in-the-life-of-a-sentient-fork
A day in the life of a sentient office chair	(e.g., "another day, another bottom")	a-day-in-the-life-of-a-sentient-office-chair
A day in the life of a sentient paperclip	(e.g., "another day, another stack of papers")	a-day-in-the-life-of-a-sentient-paperclip
A day in the life of a sentient pencil	(e.g., "another day, another pointless meeting")	a-day-in-the-life-of-a-sentient-pencil
A day in the life of a sentient rubber chicken	(e.g., "another day, another squeeze")	a-day-in-the-life-of-a-sentient-rubber-chicken
A day in the life of a sentient sock	(e.g., "another day, another foot")	a-day-in-the-life-of-a-sentient-sock
A day in the life of a sentient spoon	(e.g., "another day, another bowl of soup")	a-day-in-the-life-of-a-sentient-spoon
A day in the life of a sentient stapler	(e.g., "another day, another staple")	a-day-in-the-life-of-a-sentient-stapler
A day in the life of a sentient teacup	(e.g., "another day, another cup of tea")	a-day-in-the-life-of-a-sentient-teacup
A support group for retired superheroes	(e.g., "my back still hurts from that one time I saved the world")	a-support-group-for-retired-superheroes
Absurd things to whisper to a stranger on a bus	(e.g., "the squirrels are not what they seem")	absurd-things-to-whisper-to-a-stranger-on-a-bus
Absurdly specific apologies	(e.g., "I'm sorry for that thing I did... you know the one")	absurdly-specific-apologies
Absurdly specific compliments	(e.g., "you have the most perfectly shaped earlobes")	absurdly-specific-compliments
Absurdly specific compliments for a stranger	(e.g., "I like your face")	absurdly-specific-compliments-for-a-stranger
Absurdly specific dating app bios	(e.g., "must love dogs and the Oxford comma")	absurdly-specific-dating-app-bios
Absurdly specific fears	(e.g., "the fear of being stared at by a duck")	absurdly-specific-fears
Absurdly specific job titles	(e.g., "Chief Unicorn Wrangler")	absurdly-specific-job-titles
Absurdly specific pet peeves	(e.g., "I hate it when people breathe too loudly")	absurdly-specific-pet-peeves
Absurdly specific pickup lines	(e.g., "are you a parking ticket? because you've got fine written all over you")	absurdly-specific-pickup-lines
Absurdly specific superpowers	(e.g., "the ability to know the exact temperature of any room")	absurdly-specific-superpowers
Absurdly specific threats	(e.g., "I will steal all your left socks")	absurdly-specific-threats
Alien restaurant reviews	(e.g., tastes like Thursday)	alien-restaurant-reviews
Alternative endings to famous fairy tales	(e.g., "and they all lived happily ever after... for a week")	alternative-endings-to-famous-fairy-tales
Alternative national anthems	(e.g., kazoo chorus)	alternative-national-anthems
Alternative uses for a broken umbrella	(e.g., a very small boat)	alternative-uses-for-a-broken-umbrella
Alternative uses for a cardboard box	(e.g., a time machine, a spaceship, a fort... the possibilities are endless")	alternative-uses-for-a-cardboard-box
Alternative uses for a garden hose	(e.g., a very long straw)	alternative-uses-for-a-garden-hose
Alternative uses for a hula hoop	(e.g., a very large earring)	alternative-uses-for-a-hula-hoop
Alternative uses for a leaf blower	(e.g., a very powerful hairdryer)	alternative-uses-for-a-leaf-blower
Alternative uses for a paperclip	(e.g., a very small sword)	alternative-uses-for-a-paperclip
Alternative uses for a pool noodle	(e.g., a very long lightsaber)	alternative-uses-for-a-pool-noodle
Alternative uses for a rubber band	(e.g., a very small slingshot)	alternative-uses-for-a-rubber-band
Alternative uses for a rubber chicken	(e.g., a surprisingly effective back scratcher)	alternative-uses-for-a-rubber-chicken
Alternative uses for a rubber duck	(e.g., a very small boat... for a very small person)	alternative-uses-for-a-rubber-duck
Alternative uses for a sock	(e.g., a very small sleeping bag)	alternative-uses-for-a-sock
Alternative uses for a swimming pool full of Jell-O	(e.g., the world's largest petri dish)	alternative-uses-for-a-swimming-pool-full-of-jell-o
Alternative uses for a telephone pole	(e.g., a very tall toothpick)	alternative-uses-for-a-telephone-pole
Alternative uses for a traffic cone	(e.g., a very pointy hat)	alternative-uses-for-a-traffic-cone
An etiquette guide for time travelers	(e.g., "don't step on any butterflies")	an-etiquette-guide-for-time-travelers
An instruction manual for a baby	(e.g., "Step 1: Just add milk")	an-instruction-manual-for-a-baby
An instruction manual for a cat	(e.g., "Step 1: Do not")	an-instruction-manual-for-a-cat
An instruction manual for a dog	(e.g., "Step 1: Just add treats")	an-instruction-manual-for-a-dog
An instruction manual for a fly	(e.g., "Step 1: Fly... duh")	an-instruction-manual-for-a-fly
An instruction manual for a ghost	(e.g., "Step 1: Don't walk through walls... it's rude")	an-instruction-manual-for-a-ghost
An instruction manual for a goldfish	(e.g., "Step 1: Just add water")	an-instruction-manual-for-a-goldfish
An instruction manual for a human being	(e.g., "Step 1: Just add coffee")	an-instruction-manual-for-a-human-being
An instruction manual for a parrot	(e.g., "Step 1: Teach it to say 'polly wants a cracker'... or else")	an-instruction-manual-for-a-parrot
An instruction manual for a pet rock	(e.g., "Step 1: Don't feed it after midnight")	an-instruction-manual-for-a-pet-rock
An instruction manual for a spider	(e.g., "Step 1: Don't be a spider")	an-instruction-manual-for-a-spider
An instruction manual for a teenager	(e.g., "Step 1: Good luck")	an-instruction-manual-for-a-teenager
An instruction manual for a worm	(e.g., "Step 1: Wiggle")	an-instruction-manual-for-a-worm
Anarchist baking recipes	(e.g., "No-Knead-to-Overthrow-the-Government Sourdough")	anarchist-baking-recipes
Animals that would be improved by adding wings	(e.g., a flying pig, obviously)	animals-that-would-be-improved-by-adding-wings
Bad advice from a fortune cookie	(e.g., "You will find a new job... as a professional mime")	bad-advice-from-a-fortune-cookie
Bad business ideas that might just work	(e.g., a subscription box for pet rocks)	bad-business-ideas-that-might-just-work
Badly translated book titles	(e.g., "The Lord of the Rings" becomes "The King of the Bling")	badly-translated-book-titles
Badly translated horoscopes	(e.g., "today is a good day to... eat a sandwich")	badly-translated-horoscopes
Badly translated instruction manuals	(e.g., "to turn on the device, simply do not turn it off")	badly-translated-instruction-manuals
Badly translated movie posters	(e.g., "The Lion King" becomes "The King of the Jungle... and His Annoying Son")	badly-translated-movie-posters
Badly translated movie quotes	(e.g., "May the fork be with you")	badly-translated-movie-quotes
Badly translated movie titles	(e.g., "The Fast and the Furious" becomes "The Quick and the Angry")	badly-translated-movie-titles
Badly translated pickup lines	(e.g., "are you a wifi signal? because I'm feeling a connection")	badly-translated-pickup-lines
Badly translated restaurant menus	(e.g., "we have many things... all of them are food")	badly-translated-restaurant-menus
Badly translated song lyrics	(e.g., "I like big boats and I cannot lie")	badly-translated-song-lyrics
Badly translated song titles	(e.g., "Smells Like Teen Spirit" becomes "Smells Like... Something")	badly-translated-song-titles
Badly translated warning labels	(e.g., "may cause... something")	badly-translated-warning-labels
Bizarre and wonderful new conspiracy theories	(e.g., "the moon is actually a giant disco ball")	bizarre-and-wonderful-new-conspiracy-theories
Bizarre and wonderful new conspiracy theories about birds	(e.g., "they're not real... they're government drones")	bizarre-and-wonderful-new-conspiracy-theories-about-birds
Bizarre and wonderful new conspiracy theories about cats	(e.g., "they're not real... they're aliens")	bizarre-and-wonderful-new-conspiracy-theories-about-cats
Bizarre and wonderful new conspiracy theories about dogs	(e.g., "they're not real... they're wolves in disguise")	bizarre-and-wonderful-new-conspiracy-theories-about-dogs
Bizarre and wonderful new conspiracy theories about pigeons	(e.g., "they're not real... they're government drones")	bizarre-and-wonderful-new-conspiracy-theories-about-pigeons
Bizarre and wonderful new conspiracy theories about the government	(e.g., "they're not real... they're lizard people")	bizarre-and-wonderful-new-conspiracy-theories-about-the-government
Bizarre and wonderful new conspiracy theories about the weather	(e.g., "it's not real... it's a simulation")	bizarre-and-wonderful-new-conspiracy-theories-about-the-weather
Bizarre and wonderful new holidays	(e.g., "National Talk Like a Pirate Day")	bizarre-and-wonderful-new-holidays
Bizarre and wonderful new ice cream flavors	(e.g., "The 'Fish and Chips' flavor")	bizarre-and-wonderful-new-ice-cream-flavors
Bizarre and wonderful new jobs	(e.g., "professional cloud-watcher")	bizarre-and-wonderful-new-jobs
Bizarre and wonderful new planets	(e.g., "a planet made entirely of cheese")	bizarre-and-wonderful-new-planets
Bizarre and wonderful new planets in our solar system	(e.g., "a planet that is also a giant eyeball")	bizarre-and-wonderful-new-planets-in-our-solar-system
Bizarre and wonderful new sports	(e.g., "Extreme Ironing")	bizarre-and-wonderful-new-sports
Bizarre talents to showcase at a talent show	(commit to the bit)	bizarre-talents-to-showcase-at-a-talent-show
Board games for octopuses	(e.g., Twister champion)	board-games-for-octopuses
Book titles to make silly by adding/changing a word	(e.g., The Elephant's Bible)	book-titles-to-make-silly-by-addingchanging-a-word
Celebrity-endorsed cleaning products	(e.g., "Dwayne 'The Rock' Johnson's Rock-Solid All-Purpose Cleaner")	celebrity-endorsed-cleaning-products
Compliments for robots	(e.g., elegant algorithm)	compliments-for-robots
Compliments for someone's pet goldfish	(hyper‑specific detail)	compliments-for-someones-pet-goldfish
Conspiracy theories about the moon landing	(e.g., it was all a dream)	conspiracy-theories-about-the-moon-landing
Conspiracy theories about vegetables	(e.g., carrots see everything)	conspiracy-theories-about-vegetables
Creative uses for belly button lint	(unexpected utility)	creative-uses-for-belly-button-lint
Creative ways to cheat at a board game	(e.g., "I'll trade you two sheep for a brick... and your soul")	creative-ways-to-cheat-at-a-board-game
Creative ways to get out of a blind date	(e.g., "I have to go... my pet rock is sick")	creative-ways-to-get-out-of-a-blind-date
Creative ways to get out of a boring conversation	(e.g., "I have to go... my pet rock needs me")	creative-ways-to-get-out-of-a-boring-conversation
Creative ways to get out of a family reunion	(e.g., "I have a sudden case of... amnesia")	creative-ways-to-get-out-of-a-family-reunion
Creative ways to get out of a jury duty	(e.g., "I'm allergic to... justice")	creative-ways-to-get-out-of-a-jury-duty
Creative ways to get out of a parking ticket	(e.g., "I'm not parked... I'm just waiting for a friend")	creative-ways-to-get-out-of-a-parking-ticket
Creative ways to get out of a speeding ticket	(e.g., "I'm not driving, I'm traveling")	creative-ways-to-get-out-of-a-speeding-ticket
Creative ways to get out of a speeding ticket	(e.g., "I'm not speeding... I'm just flying low")	creative-ways-to-get-out-of-a-speeding-ticket
Creative ways to get out of a wedding	(e.g., "I have to go... my pet rock is getting married")	creative-ways-to-get-out-of-a-wedding
Creative ways to get out of doing chores	(e.g., "I'm allergic to dust")	creative-ways-to-get-out-of-doing-chores
Creative ways to get out of doing laundry	(e.g., "I'm waiting for the laundry fairy")	creative-ways-to-get-out-of-doing-laundry
Creative ways to use a time machine for mundane tasks	(e.g., "going back in time to put the bins out")	creative-ways-to-use-a-time-machine-for-mundane-tasks
Daily affirmations for a dragon	(e.g., "I am a majestic creature of fire and... I'm awesome")	daily-affirmations-for-a-dragon
Daily affirmations for a ghost	(e.g., "I am seen... even when I'm not")	daily-affirmations-for-a-ghost
Daily affirmations for a goldfish	(e.g., "I am a majestic creature of the deep... even if I only live in a bowl")	daily-affirmations-for-a-goldfish
Daily affirmations for a houseplant	(e.g., "I am a beautiful and unique snowflake... just like every other plant")	daily-affirmations-for-a-houseplant
Daily affirmations for a penguin	(e.g., "I am a bird... but I can't fly... and that's okay")	daily-affirmations-for-a-penguin
Daily affirmations for a robot	(e.g., "I am a robot... and I am here to help... or take over the world")	daily-affirmations-for-a-robot
Daily affirmations for a rock	(e.g., "I am a rock... I am strong... I am... a rock")	daily-affirmations-for-a-rock
Daily affirmations for a shark	(e.g., "I am a shark... and I am... hungry")	daily-affirmations-for-a-shark
Daily affirmations for a sloth	(e.g., "I am a sloth... and I am... sleepy")	daily-affirmations-for-a-sloth
Daily affirmations for a supervillain	(e.g., "I am the master of my own destiny... and everyone else's")	daily-affirmations-for-a-supervillain
Daily affirmations for a unicorn	(e.g., "I am a unicorn... and I am... magical")	daily-affirmations-for-a-unicorn
Daily affirmations for a vampire	(e.g., "I am a creature of the night... and I love it")	daily-affirmations-for-a-vampire
Daily affirmations for a zombie	(e.g., "I am a zombie... and I am okay with that")	daily-affirmations-for-a-zombie
Daily affirmations from a grumpy cat	(e.g., "I am not amused.")	daily-affirmations-from-a-grumpy-cat
Daily horoscopes for historical figures	(e.g., "Napoleon, today is a good day to avoid waterloo")	daily-horoscopes-for-historical-figures
Dance moves for introverts	(e.g., the subtle nod)	dance-moves-for-introverts
Dangerous and ill-advised DIY projects	(e.g., building a functioning lightsaber)	dangerous-and-ill-advised-diy-projects
DIY instructions for building a time machine out of household appliances	(e.g., a blender, a microwave, and a whole lot of aluminum foil)	diy-instructions-for-building-a-time-machine-out-of-household-appliances
Dubious fashion advice from a clown	(e.g., "the bigger the shoes, the better")	dubious-fashion-advice-from-a-clown
Dubious historical "facts"	(e.g., "Napoleon was actually three small children in a trench coat")	dubious-historical-facts
Dubious historical "quotes"	(e.g., "let them eat cake... and then have a nap")	dubious-historical-quotes
Dubious legal advice from a cartoon character	(e.g., "I'm not a lawyer, but I play one on TV")	dubious-legal-advice-from-a-cartoon-character
Dubious life advice from a cartoon character	(e.g., "what's up, doc?")	dubious-life-advice-from-a-cartoon-character
Dubious life advice from a fairy	(e.g., "just believe in yourself... and also in fairies")	dubious-life-advice-from-a-fairy
Dubious life advice from a goblin	(e.g., "just be yourself... unless you can be a goblin")	dubious-life-advice-from-a-goblin
Dubious life advice from a pirate	(e.g., "always be yourself... unless you can be a pirate")	dubious-life-advice-from-a-pirate
Dubious life advice from a troll	(e.g., "just be yourself... unless you can be a troll")	dubious-life-advice-from-a-troll
Dubious life advice from a wizard	(e.g., "just believe in yourself... and also in magic")	dubious-life-advice-from-a-wizard
Dubious medical advice from a witch doctor	(e.g., "just rub some dirt on it")	dubious-medical-advice-from-a-witch-doctor
Dubious medical advice from the internet	(e.g., "a spoonful of cinnamon a day keeps the doctor away")	dubious-medical-advice-from-the-internet
Dubious scientific "facts"	(e.g., "the earth is actually a giant hamster wheel")	dubious-scientific-facts
Elevator small talk extremes	(e.g., weather on Mars)	elevator-small-talk-extremes
Euphemisms for using the toilet	(e.g., shipping out the goods)	euphemisms-for-using-the-toilet
Excuses for being late that involve a black hole	(e.g., "I got stuck in a time warp")	excuses-for-being-late-that-involve-a-black-hole
Excuses for being late that involve a dragon	(e.g., "I was fighting a dragon... and I won")	excuses-for-being-late-that-involve-a-dragon
Excuses for being late that involve a giant squid	(e.g., "I was attacked by a kraken")	excuses-for-being-late-that-involve-a-giant-squid
Excuses for being late that involve a parallel universe	(e.g., "I was stuck in a world where everything is the same, but different")	excuses-for-being-late-that-involve-a-parallel-universe
Excuses for being late that involve a portal to another dimension	(e.g., "I took a wrong turn at... another dimension")	excuses-for-being-late-that-involve-a-portal-to-another-dimension
Excuses for being late that involve a talking cat	(e.g., "my cat told me not to go")	excuses-for-being-late-that-involve-a-talking-cat
Excuses for being late that involve a talking squirrel	(e.g., "a squirrel told me the meaning of life... it took a while")	excuses-for-being-late-that-involve-a-talking-squirrel
Excuses for being late that involve a time loop	(e.g., "I've been living the same day over and over again")	excuses-for-being-late-that-involve-a-time-loop
Excuses for being late that involve a time-traveling hamster	(e.g., "my hamster went back in time and... it's a long story")	excuses-for-being-late-that-involve-a-time-traveling-hamster
Excuses for being late that involve a time-traveling squirrel	(e.g., "a squirrel from the future told me not to come")	excuses-for-being-late-that-involve-a-time-traveling-squirrel
Excuses for being late that involve a unicorn	(e.g., "I was riding a unicorn... and it was magical")	excuses-for-being-late-that-involve-a-unicorn
Excuses for being late that involve a wormhole	(e.g., "I took a wrong turn at Albuquerque")	excuses-for-being-late-that-involve-a-wormhole
Excuses for being late that involve aliens	(e.g., "I was abducted... again")	excuses-for-being-late-that-involve-aliens
Excuses for being late to my own wedding	(pile on absurd causality)	excuses-for-being-late-to-my-own-wedding
Excuses for being late to your own funeral	(e.g., "I had to finish one last episode")	excuses-for-being-late-to-your-own-funeral
Excuses for not doing the dishes that involve time travel	(e.g., "I'll do them yesterday.")	excuses-for-not-doing-the-dishes-that-involve-time-travel
Excuses for why my homework ate my dog	(reverse causality)	excuses-for-why-my-homework-ate-my-dog
Failed attempts at creating a new dance move	(e.g., "The Flailing Gerbil")	failed-attempts-at-creating-a-new-dance-move
Failed attempts at creating a new holiday	(e.g., "National Hug a Porcupine Day")	failed-attempts-at-creating-a-new-holiday
Failed attempts at creating a new holiday for fish	(e.g., "National... Fish Day?")	failed-attempts-at-creating-a-new-holiday-for-fish
Failed attempts at creating a new holiday for insects	(e.g., "National... Bug Day?")	failed-attempts-at-creating-a-new-holiday-for-insects
Failed attempts at creating a new holiday for pets	(e.g., "National... Pet Day?")	failed-attempts-at-creating-a-new-holiday-for-pets
Failed attempts at creating a new holiday for worms	(e.g., "National... Worm Day?")	failed-attempts-at-creating-a-new-holiday-for-worms
Failed attempts at creating a new law of physics	(e.g., "the law of... something")	failed-attempts-at-creating-a-new-law-of-physics
Failed attempts at creating a new species	(e.g., "I call it a 'cat-dog'... it's not very friendly")	failed-attempts-at-creating-a-new-species
Failed attempts at creating a new species of plant	(e.g., "a plant that... talks back")	failed-attempts-at-creating-a-new-species-of-plant
Failed attempts at creating a new type of weather	(e.g., "a rain of... glitter")	failed-attempts-at-creating-a-new-type-of-weather
Failed attempts at inventing a new animal	(e.g., "a chicken with teeth")	failed-attempts-at-inventing-a-new-animal
Failed attempts at inventing a new color	(e.g., "I call it 'blurple'")	failed-attempts-at-inventing-a-new-color
Failed attempts at inventing a new word	(e.g., "I call it 'flibbertigibbet'")	failed-attempts-at-inventing-a-new-word
Failed attempts at world domination	(e.g., "my laser beam was just a laser pointer")	failed-attempts-at-world-domination
Failed inventions from the world's worst inventor	(e.g., a solar-powered flashlight)	failed-inventions-from-the-worlds-worst-inventor
Failed superhero audition stories	(power + rejection reason)	failed-superhero-audition-stories
Fake historical inventions	(e.g., medieval Wi‑Fi)	fake-historical-inventions
Famous historical events, as reenacted by cats	(e.g., "The Great Cat-sby")	famous-historical-events-as-reenacted-by-cats
Famous historical events, as told by a parrot	(e.g., "Polly wants... a revolution")	famous-historical-events-as-told-by-a-parrot
Famous historical figures, as played by sock puppets	(e.g., "Abraham Lincoln... but with more socks")	famous-historical-figures-as-played-by-sock-puppets
Famous landmarks reimagined as bouncy castles	(e.g., the Eiffel Tower, but with more bounce)	famous-landmarks-reimagined-as-bouncy-castles
Famous landmarks, as described by someone who has never seen them	(e.g., "The Great Wall of China... it's a big wall")	famous-landmarks-as-described-by-someone-who-has-never-seen-them
Famous movie quotes, but with a twist	(e.g., "I'll be back... after I've had a nap")	famous-movie-quotes-but-with-a-twist
Famous movie scenes, as reenacted by goldfish	(e.g., "The... goldfish bowl scene from... that movie")	famous-movie-scenes-as-reenacted-by-goldfish
Famous movie scenes, as reenacted by hamsters	(e.g., "The... hamster wheel scene from... that movie")	famous-movie-scenes-as-reenacted-by-hamsters
Famous movie scenes, as reenacted by squirrels	(e.g., "The... nut-gathering scene from... that movie")	famous-movie-scenes-as-reenacted-by-squirrels
Famous movie scenes, as reenacted by worms	(e.g., "The... worm-charming scene from... that movie")	famous-movie-scenes-as-reenacted-by-worms
Famous paintings, as described by a dog	(e.g., "The Mona Lisa... but with more squirrels")	famous-paintings-as-described-by-a-dog
Famous songs, as sung by a frog	(e.g., "It's Not Easy Being Green")	famous-songs-as-sung-by-a-frog
Famous works of art, as improved by adding googly eyes	(e.g., "The Mona Lisa... but with googly eyes")	famous-works-of-art-as-improved-by-adding-googly-eyes
Famous works of art, as reimagined by a toddler	(e.g., "The Mona Lisa... but with more glitter")	famous-works-of-art-as-reimagined-by-a-toddler
Fashion advice from a penguin	(e.g., always overdress)	fashion-advice-from-a-penguin
Fashion tips for the apocalypse	(e.g., "this season, it's all about the rugged look")	fashion-tips-for-the-apocalypse
Fashion trends for aliens	(e.g., "this season, it's all about the tentacles")	fashion-trends-for-aliens
Fashion trends for centaurs	(e.g., "this season, it's all about the... horse part")	fashion-trends-for-centaurs
Fashion trends for cyclops	(e.g., "this season, it's all about the... one eye")	fashion-trends-for-cyclops
Fashion trends for fairies	(e.g., "this season, it's all about the... wings")	fashion-trends-for-fairies
