text	help
interpretations of nature by beings from gas giants	(impossible rule and one consequence)
logs from aliens observing daily life	(impossible rule and one consequence)
misconceptions about human relationships	(impossible rule and one consequence)
possible alien explanations for common technologies	(impossible rule and one consequence)
products designed for anatomies unlike ours	(target user, problem, and a unique edge)
questions an extraterrestrial would ask about Earth	(impossible rule and one consequence)
sports as imagined by gravity-free species	(impossible rule and one consequence)
views on art from non-human senses	(impossible rule and one consequence)
ways an alien might misinterpret human rituals	(impossible rule and one consequence)
what alien historians might record about humans	(impossible rule and one consequence)
where are all the aliens?	(impossible rule and one consequence)
